path,cannons,trains,line_sections,arc_sections,spiral_sections,train_speeds,carriage_counts,colour_counts,special_entries,sha256
levels/BubbleTrain/11-N.lvl,1,1,3,2,0,2.0,30,5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,7b69721043adf547fa9eeb1e1a46b75e8f589b207a6a7930b5a9c84a9434473b
levels/Easy/easy-1.lvl,1,1,1,0,0,1.0,3,2;2,,dc3151bdd33d24fb6b33db10cbed00c1b76fd5d737ba7e2228a53c827b8fc1c6
levels/Easy/easy-10.lvl,1,1,3,2,0,1.0,15,3;3,,c2fcd7bd4a1ecd81caf6e9f00fcc805b7daca88e43ba224a64bba6657c038144
levels/Easy/easy-2.lvl,1,1,1,0,0,1.0,5,2;2,,537124da4668c48ae6689f84f642edc5b31a4c5e0418191fb1f46c991448519b
levels/Easy/easy-3.lvl,1,1,0,1,0,1.0,5,2;2,,67a6576652a664670dfba6852a7583e2fde7f4f18dda67a975ca9705f4cb51bf
levels/Easy/easy-4.lvl,1,1,2,1,0,1.0,5,2;2,,c73d7a936ee6b023a2a68fcc80662541dc40cca5afe6136a78b2ec5269405d5d
levels/Easy/easy-5.lvl,1,1,3,2,0,1.0,10,2;2,,34c1e8ee450772e369fd1e989c1c45e177b2ae59abefb3096975f7b2df0f0d41
levels/Easy/easy-6.lvl,1,1,3,2,0,1.0,10,2;2,,3dd695120528870011e5db9a9d6a0fa240d1534b01d6875a51dd8d31f501aabc
levels/Easy/easy-7.lvl,1,1,3,2,0,1.0,15,2;2,,9b63c0dca7f37101298f2bff14489ace94d647c491fbe5b331b2b01961a7e8bb
levels/Easy/easy-8.lvl,1,1,1,0,0,1.0,5,3;3,,7c8f86cab8d2e6554b14237065c3b054d05376e3baaba52431fc32f5ae16964b
levels/Easy/easy-9.lvl,1,1,0,1,0,1.0,5,3;3,,667ce0c0e9400512bf25c72f3e696dd7e8431de6fe363988701a020cc124c60c
levels/Hard/hard-1.lvl,1,1,0,0,1,1.0,30,5;5,bullet:SFX_COLOUR_BOMBx1,a9838bbc41b5a25fa36ef6846c285827b4c09be8d67f614338e95937b5f804fc
levels/Hard/hard-10.lvl,1,2,4,2,0,1.5;1.5,20;20,4;4;4,bullet:SFX_RAINBOWx2;bullet:SFX_SPEEDx1;bullet:SFX_BOMBx1,bc4aea780c9108e44553179fff8e0f34e6ce5e7fa4ddb2d027fb4f840bc6b93f
levels/Hard/hard-11.lvl,1,2,12,10,0,1.5;1.0,30;20,4;4;4,bullet:SFX_RAINBOWx2;bullet:SFX_SPEEDx1;bullet:SFX_BOMBx1,a1ee6d2c854818a801521bfc121e43cf803ba4902974c62a262af867eb8761e3
levels/Hard/hard-12.lvl,1,2,4,2,0,1.2;1.2,15;15,5;5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,3ffe3e9d07e9d854eba75c73d760e4939bbcc009b139e757cebf2a468cec6ab6
levels/Hard/hard-13.lvl,1,2,0,6,0,1.0;1.0,15;15,4;5;5,bullet:SFX_RAINBOWx2;bullet:SFX_SPEEDx1;bullet:SFX_BOMBx1,45637dbcd0c54711f98aeb4dc67cd752a7670b87c0114d2bcf0e2d02b86a14cf
levels/Hard/hard-14.lvl,1,2,0,2,0,1.0;1.0,20;20,5;5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx2,ac7ae219d7868aeccf2e38f77b1b4828b8631c3fec835e09dd2a1b81321bd969
levels/Hard/hard-15.lvl,1,3,0,3,0,1.0;1.0;1.0,10;10;10,3;3;3;3,bullet:SFX_COLOUR_BOMBx4,46367448074ecf00d566ac04c01a67a4d9fb47a06325c7e146a7209974f4f25d
levels/Hard/hard-16.lvl,1,3,0,3,0,1.0;1.0;1.0,10;10;10,3;4;4;4,bullet:SFX_COLOUR_BOMBx4,598672a47b33738a444c0ad7ec22f13e9bf02fc08d5faa4f1052828ecf7ac7b6
levels/Hard/hard-17.lvl,1,3,0,3,0,1.0;1.0;1.0,5;5;5,5;5;5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx2;bullet:SFX_COLOUR_BOMBx3,9c51ab3f95fa125ba97e3ccce8b652321eff605eac961b80ba9df5bd3384b2c7
levels/Hard/hard-18.lvl,1,2,3,2,1,1.0;1.0,20;10,5;5;4,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx2;bullet:SFX_COLOUR_BOMBx3,4937f99e728c8e2660520f79cddf5b48f8e84805934d106734c7690be8fc95c1
levels/Hard/hard-19.lvl,1,2,4,2,0,2.0;2.0,10;10,5;5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx2;bullet:SFX_COLOUR_BOMBx3,24217740ee7c896bad84bbc851e1dde4a05e2a8c68e7dc2de9d76cf3ef9ffeb6
levels/Hard/hard-2.lvl,1,1,0,0,1,1.5,30,5;5,bullet:SFX_COLOUR_BOMBx1,24402d55cf15ed7a9a10ba07230c0a6e3b085c1b8f7e37d68f96cf37a401e468
levels/Hard/hard-20.lvl,1,2,2,4,2,1.0;2.0,30;30,5;5;5,bullet:SFX_COLOUR_BOMBx4,c5cf9ac0de83be78c0b6bb36be2286aa0956e02d6d07813c034d9b9488b5d112
levels/Hard/hard-3.lvl,1,1,0,0,1,1.0,50,5;5,bullet:SFX_COLOUR_BOMBx1,b0fe46ce5e2a1e722e1108ae9255a99233d6af15ad158320e4eae362b3fbc800
levels/Hard/hard-4.lvl,1,1,0,0,1,1.5,50,5;5,bullet:SFX_COLOUR_BOMBx1,ff0d6725a0cc92c128770e71618bf9ed8b8030ca7e669195df4063cdf117d923
levels/Hard/hard-5.lvl,1,2,0,0,2,1.0;1.0,20;20,4;4;4,bullet:SFX_COLOUR_BOMBx2,809d21457c914481242655092ab26ba200de75f056de262f322054cad24d87d7
levels/Hard/hard-6.lvl,1,2,2,4,0,1.0;1.0,20;20,4;4;4,bullet:SFX_COLOUR_BOMBx1,87e2b6bcc93067bf0487e592a390092dc76bd087e1174d04c4146a352a3881a4
levels/Hard/hard-7.lvl,1,2,2,4,0,1.5;1.5,30;30,4;4;4,bullet:SFX_COLOUR_BOMBx2,8140642913440925246a3cc4acaaf32c39c13dda1afc1a2ee674ce5b26811d0d
levels/Hard/hard-8.lvl,1,2,4,2,0,1.5;1.5,20;20,4;4;4,bullet:SFX_COLOUR_BOMBx1,7c3f4118690484e1ce3c3492450aa6d750b0ef3ca9215e19cb43e97afb9d20c4
levels/Hard/hard-9.lvl,1,3,3,0,0,1.0;1.2;1.0,10;15;15,4;4;4;4,bullet:SFX_COLOUR_BOMBx2,656fb2fa08a007be61597035a33bdb47ed8f9e8f723f1efc6824380f005089de
levels/Normal/normal-1.lvl,1,1,3,2,0,1.0,10,3;3,,602d2765a7cbf5be58a93f71ef1e693ba689d65014c82bf014141436a9f6e235
levels/Normal/normal-10.lvl,1,1,0,0,1,1.5,20,4;4,bullet:SFX_COLOUR_BOMBx1,0d3d257f6fb7b63709680f675091f32d2592db2e67746bf033991e5970a0347a
levels/Normal/normal-11.lvl,1,1,5,6,0,1.0,20,4;4,bullet:SFX_COLOUR_BOMBx1,1a310d2457c086acaa663d51e6c87ed9e804f80ba8834d7b4588d8de51a9233b
levels/Normal/normal-12.lvl,1,1,2,2,1,1.0,30,4;4,bullet:SFX_RAINBOWx3;bullet:SFX_SPEEDx2,4eefa50d2ddff923e5845348929a0d6640f225f35d43d4eb33c9849c7a4d1018
levels/Normal/normal-13.lvl,1,1,2,5,0,1.5,30,4;4,bullet:SFX_COLOUR_BOMBx1,f49dc58a6c06a7c14a3f3e8e778cccebc022faabe117327f3466c7c78c690716
levels/Normal/normal-14.lvl,1,1,7,6,0,1.0,50,4;4,bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,0162fe204e4e42a5da55036b9bdfbb0cbbbf8c8f15c802b2863b477c4b758683
levels/Normal/normal-15.lvl,1,1,1,2,1,1.0,40,4;4,,67a3eff45e50371591dd7e0230b5b8d1e62310ec5bae6964317c4a4dce59afd0
levels/Normal/normal-16.lvl,1,1,0,0,1,1.0,40,4;4,bullet:SFX_COLOUR_BOMBx2,fb71fffc28f640548ef1552daed26d759c8881d0d2bcf127bf2df81b9495474b
levels/Normal/normal-17.lvl,1,1,0,0,1,1.0,20,5;5,bullet:SFX_BOMBx1,54565dee5a8fbe94a79405e9080194963fa49c666e71e9e2f6c4e04eea0c6f0c
levels/Normal/normal-18.lvl,1,1,0,0,1,1.5,30,5;5,bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,b4a8afc4baa6833003b6ac757cc2891ca49d071cc82dc9e8bd1b7f94c5c3f520
levels/Normal/normal-19.lvl,1,2,0,0,2,1.0;1.0,15;15,4;4;4,bullet:SFX_RAINBOWx2;bullet:SFX_SPEEDx3;bullet:SFX_BOMBx2;bullet:SFX_COLOUR_BOMBx2,b804639576689fe420346e56a7f0817ea80383c2c815ed29ee8fb4a3fe474f33
levels/Normal/normal-2.lvl,1,1,3,2,0,1.0,15,3;3,,a1e2bb69d14509e6ea455f434af6d2fcd247f4503deb35046720c22e9a4e11a4
levels/Normal/normal-20.lvl,1,2,4,2,0,1.3;1.3,15;15,4;4;4,bullet:SFX_BOMBx3,11e5c6b489d7142a853243ec1836ab6151a9794374d8a54842ebf9dd9caa31bf
levels/Normal/normal-3.lvl,1,1,2,1,0,1.5,10,3;3,,7ed4a1dd8575821c91b60d7096dff8d348a584e82353ee471981970da481ae42
levels/Normal/normal-4.lvl,1,1,3,2,0,1.5,15,3;3,,4a667358f4876c89d89ea74d8406c7e8b8b36109f408c043b610fb311686bb52
levels/Normal/normal-5.lvl,1,1,4,3,0,1.0,15,3;3,bullet:SFX_BOMBx2,49faa0fd04a908dc98a5d0bb86577d2057cd7fbfd30d1ce43450ce75190c120f
levels/Normal/normal-6.lvl,1,1,3,2,0,2.0,20,3;3,bullet:SFX_BOMBx2;carriage:SFX_SPEEDx1,f7b8004a2520f772156c147a32ac8093050931cf0c6cc1f321f98029a7ec2b95
levels/Normal/normal-7.lvl,1,1,0,0,1,2.0,15,3;3,bullet:SFX_BOMBx1,ffc34cf4116ed1b47f1e6615342288aaee9828063126b324ca96cf67a24c9ee0
levels/Normal/normal-8.lvl,1,1,0,0,1,2.0,20,3;3,bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,3eda87f5574b2c4542b6b49990edb5a4170659a690e5121576209ee070fa525c
levels/Normal/normal-9.lvl,1,1,4,3,0,1.5,20,4;3,bullet:SFX_COLOUR_BOMBx1,2c7dbcef04d096a8d81e5ba48c70862089988cdba5024022d4a061aed358495c
