level,train,cannon_pos_ratio,bullet_speed_os4,bullet_speed_gp2x,train_speed_os4,train_speed_gp2x,train_speed_ratio
Hard/hard-14.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-14.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-15.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-15.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-15.lvl,3,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-16.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-16.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-16.lvl,3,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-17.lvl,1,0.4000,14.00,8.00,1.00,0.40,0.4000
Hard/hard-17.lvl,2,0.4000,14.00,8.00,1.00,0.40,0.4000
Hard/hard-17.lvl,3,0.4000,14.00,8.00,1.00,0.40,0.4000
Hard/hard-18.lvl,1,0.4000,14.00,8.00,1.00,0.40,0.4000
Hard/hard-18.lvl,2,0.4000,14.00,8.00,1.00,0.40,0.4000
Hard/hard-19.lvl,1,0.4000,14.00,8.00,2.00,0.80,0.4000
Hard/hard-19.lvl,2,0.4000,14.00,8.00,2.00,0.80,0.4000
Hard/hard-2.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-20.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-20.lvl,2,0.4000,12.00,8.00,2.00,0.80,0.4000
Hard/hard-3.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-4.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-5.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-5.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-6.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-6.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-7.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-7.lvl,2,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-8.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-8.lvl,2,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-9.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-9.lvl,2,0.4000,12.00,8.00,1.20,0.40,0.3333
Hard/hard-9.lvl,3,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-1.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Normal/normal-10.lvl,1,0.4000,10.00,8.00,1.50,0.60,0.4000
Normal/normal-11.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Normal/normal-12.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Normal/normal-13.lvl,1,0.4000,10.00,8.00,1.50,0.60,0.4000
Normal/normal-14.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-15.lvl,1,0.4000,11.00,8.00,1.00,0.40,0.4000
Normal/normal-16.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-17.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-18.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Normal/normal-19.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-19.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Normal/normal-2.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Normal/normal-20.lvl,1,0.4000,12.00,8.00,1.30,0.52,0.4000
Normal/normal-20.lvl,2,0.4000,12.00,8.00,1.30,0.52,0.4000
Normal/normal-3.lvl,1,0.4000,10.00,8.00,1.50,0.60,0.4000
Normal/normal-4.lvl,1,0.4000,10.00,8.00,1.50,0.60,0.4000
Normal/normal-5.lvl,1,0.4000,10.00,8.00,1.00,0.80,0.8000
Normal/normal-6.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
Normal/normal-7.lvl,1,0.4000,10.00,8.00,2.00,0.8,0.4000
Normal/normal-8.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
Normal/normal-9.lvl,1,0.4000,10.00,8.00,1.50,0.60,0.4000
